repo,api_type,response_time_ms,response_size_bytes,num_requests,status,error_message
torvalds/linux,GraphQL,1267.8117000032216,9691,1,success,
d3/d3,GraphQL,1452.8204000089318,13936,1,success,
angular/angular,GraphQL,2208.7805999908596,39313,1,success,
public-apis/public-apis,REST,6102.345000137575,1495073,5,success,
facebook/react-native,REST,6583.474799990654,1653288,5,success,
donnemartin/system-design-primer,GraphQL,2266.9315999373794,34331,1,success,
trekhleb/javascript-algorithms,REST,6748.985099955462,1456935,5,success,
neovim/neovim,GraphQL,2050.3710000775754,34676,1,success,
huggingface/transformers,REST,6521.452800021507,1678299,5,success,
airbnb/javascript,GraphQL,1973.0365999275818,36779,1,success,
nodejs/node,REST,6264.6330000134185,1644984,5,success,
MarlinFirmware/Marlin,REST,6016.942200134508,1639851,5,success,
github/copilot-docs,GraphQL,1683.2005000906065,8432,1,success,
sindresorhus/awesome,GraphQL,1801.932500093244,22051,1,success,
codecrafters-io/build-your-own-x,REST,6220.679200254381,1486255,5,success,
flutter/flutter,REST,7170.080799958669,1838867,5,success,
MarlinFirmware/Marlin,REST,6030.668300110847,1639851,5,success,
NVIDIA/DeepLearningExamples,REST,7468.212399980985,1633363,5,success,
huggingface/transformers,GraphQL,2534.4513000454754,35908,1,success,
jwasham/coding-interview-university,GraphQL,1914.8835999658331,22290,1,success,
MarlinFirmware/Marlin,REST,6175.884599913843,1639851,5,success,
facebook/react-native,GraphQL,1977.0800999831408,39897,1,success,
reduxjs/redux,GraphQL,1508.8416000362486,18639,1,success,
facebook/react-native,GraphQL,2324.408100103028,39897,1,success,
microsoft/PowerToys,REST,7649.113299907185,1965540,5,success,
microsoft/vscode,REST,7672.270900104195,1882936,5,success,
github/gitignore,GraphQL,4533.569500083104,20859,1,success,
trekhleb/javascript-algorithms,REST,6939.575399970636,1456935,5,success,
github/gitignore,REST,7920.923599973321,1489919,5,success,
lodash/lodash,REST,6292.044400121085,1077084,5,success,
twbs/bootstrap,REST,6351.825100136921,1683361,5,success,
mrdoob/three.js,REST,6149.399799993262,1485487,5,success,
microsoft/PowerToys,REST,7818.784500123002,1965540,5,success,
pytorch/pytorch,GraphQL,3843.918099999428,40942,1,success,
facebook/react-native,GraphQL,1945.315400022082,39897,1,success,
rust-lang/rust,REST,6651.050900225528,1791031,5,success,
freeCodeCamp/freeCodeCamp,GraphQL,1984.6879000542685,39053,1,success,
ohmyzsh/ohmyzsh,GraphQL,2160.269500105642,36082,1,success,
d3/d3,GraphQL,1608.2469000248238,13936,1,success,
mrdoob/three.js,GraphQL,1942.3855999484658,34898,1,success,
angular/angular,REST,6674.956200062297,1722535,5,success,
sindresorhus/awesome,GraphQL,1898.5109000932425,22051,1,success,
django/django,GraphQL,1823.5102000180632,23995,1,success,
twbs/bootstrap,GraphQL,2494.0371999982744,36293,1,success,
sindresorhus/awesome,GraphQL,2128.6681999918073,22051,1,success,
pallets/flask,GraphQL,1537.7608999842778,11875,1,success,
golang/go,GraphQL,2178.6060999147594,37324,1,success,
neovim/neovim,REST,6699.703999911435,1484389,5,success,
pallets/flask,GraphQL,1443.7474000733346,11875,1,success,
public-apis/public-apis,REST,6704.440700006671,1495073,5,success,
openai/gpt-3,REST,4973.6800998216495,42841,5,success,
airbnb/javascript,REST,7098.038100055419,1376586,5,success,
facebook/react-native,GraphQL,2336.0518000554293,39897,1,success,
github/gitignore,GraphQL,1967.3593000043184,20859,1,success,
nodejs/node,GraphQL,1957.5700999703258,38624,1,success,
trekhleb/javascript-algorithms,REST,6337.528599891812,1456935,5,success,
EbookFoundation/free-programming-books,REST,6341.877899947576,1719236,5,success,
neovim/neovim,GraphQL,2569.4255999987945,34676,1,success,
d3/d3,REST,5652.172899921425,560341,5,success,
microsoft/vscode,REST,8034.311599913053,1882936,5,success,
EbookFoundation/free-programming-books,GraphQL,1857.8470000065863,30691,1,success,
prettier/prettier,REST,6512.164200074039,1595316,5,success,
vercel/next.js,REST,6775.958999991417,1567804,5,success,
vuejs/vue,REST,6536.159499897622,1445498,5,success,
flutter/flutter,REST,6654.52739992179,1838867,5,success,
microsoft/vscode,GraphQL,2245.054400060326,37170,1,success,
facebook/react-native,REST,6714.042300009169,1653288,5,success,
vercel/next.js,GraphQL,3487.625899957493,37536,1,success,
torvalds/linux,REST,4832.385300076567,241405,5,success,
codecrafters-io/build-your-own-x,GraphQL,2238.200100022368,32838,1,success,
getify/You-Dont-Know-JS,REST,4863.790199975483,284419,5,success,
axios/axios,GraphQL,1923.3505999436602,35816,1,success,
TheAlgorithms/Python,REST,6546.122999978252,1643447,5,success,
ohmyzsh/ohmyzsh,REST,7017.983199912123,1638153,5,success,
microsoft/vscode,REST,7825.435700127855,1882936,5,success,
mrdoob/three.js,REST,6931.946100085042,1485487,5,success,
codecrafters-io/build-your-own-x,GraphQL,2159.6232999581844,32838,1,success,
torvalds/linux,GraphQL,1388.6870000278577,9691,1,success,
MarlinFirmware/Marlin,GraphQL,2329.0047999471426,36506,1,success,
twbs/bootstrap,REST,7788.361300015822,1683361,5,success,
jwasham/coding-interview-university,REST,6960.565999965183,761949,5,success,
ohmyzsh/ohmyzsh,GraphQL,2308.6868000682443,36082,1,success,
public-apis/public-apis,GraphQL,1724.522600066848,25023,1,success,
reduxjs/redux,REST,5526.609000051394,563277,5,success,
